_topic_,_term_,_role_,_weight_
joy,aspiring,,0.5
positive,aspiring,,0.5
trust,aspiring,,0.5
negative,ass,,0.5
anger,assail,,0.5
fear,assail,,0.5
negative,assail,,0.5
surprise,assail,,0.5
anger,assailant,,0.5
fear,assailant,,0.5
negative,assailant,,0.5
sadness,assailant,,0.5
anger,assassin,,0.5
fear,assassin,,0.5
negative,assassin,,0.5
sadness,assassin,,0.5
anger,assassinate,,0.5
fear,assassinate,,0.5
negative,assassinate,,0.5
anger,assassination,,0.5
fear,assassination,,0.5
negative,assassination,,0.5
sadness,assassination,,0.5
anger,assault,,0.5
fear,assault,,0.5
negative,assault,,0.5
positive,assembly,,0.5
trust,assembly,,0.5
positive,assent,,0.5
positive,asserting,,0.5
trust,asserting,,0.5
surprise,assessment,,0.5
trust,assessment,,0.5
trust,assessor,,0.5
positive,assets,,0.5
anger,asshole,,0.5
disgust,asshole,,0.5
negative,asshole,,0.5
trust,assignee,,0.5
positive,assist,,0.5
trust,assist,,0.5
positive,assistance,,0.5
positive,associate,,0.5
trust,associate,,0.5
trust,association,,0.5
positive,assuage,,0.5
positive,assurance,,0.5
trust,assurance,,0.5
trust,assure,,0.5
positive,assured,,0.5
trust,assured,,0.5
trust,assuredly,,0.5
positive,astonishingly,,0.5
surprise,astonishingly,,0.5
joy,astonishment,,0.5
positive,astonishment,,0.5
surprise,astonishment,,0.5
fear,astray,,0.5
negative,astray,,0.5
negative,astringent,,0.5
anticipation,astrologer,,0.5
positive,astrologer,,0.5
positive,astronaut,,0.5
anticipation,astronomer,,0.5
positive,astronomer,,0.5
positive,astute,,0.5
fear,asylum,,0.5
negative,asylum,,0.5
disgust,asymmetry,,0.5
negative,atheism,,0.5
fear,atherosclerosis,,0.5
negative,atherosclerosis,,0.5
sadness,atherosclerosis,,0.5
positive,athlete,,0.5
positive,athletic,,0.5
positive,atom,,0.5
anticipation,atone,,0.5
joy,atone,,0.5
positive,atone,,0.5
trust,atone,,0.5
